id,title,description,availability,condition,price,link,image_link,brand,product_type
93,The Mr & Mrs Home Set,"For the two who built a home together. A personalised ceramic clock, Mr & Mrs mugs, and a matching Mr & Mrs coaster, every piece marking the life you share.",in stock,new,650.00 ZAR,https://kadashgifts.co.za/#gift-93,https://kadashgifts.co.za/images/coaster_mug_clock.jpg,Kadash Gifts,Best Sellers > Gift Boxes & Hampers > Love & Anniversary
94,The Time Together Set,"Every moment with them is worth keeping. A personalised ceramic clock paired with a personalised puzzle, a gift about the time you've spent and the pieces that make you, you.",in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-94,https://kadashgifts.co.za/images/clock_with_puzzle.jpg,Kadash Gifts,Love & Anniversary
95,The Keepsake Clock,"A personalised ceramic clock made to mark what matters: their names, your date, a moment you'll never let slip. Simple, lasting, entirely yours.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-95,https://kadashgifts.co.za/images/ceremic_clock.jpg,Kadash Gifts,Love & Anniversary
96,The His & Hers Towel Set,"For the couple who share everything, including the bathroom. A personalised Mr & Mrs towel set, his and hers, each carrying their name.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-96,https://kadashgifts.co.za/images/personlised_towels_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Love & Anniversary
97,The Grand Gesture Set,"When you want to say it loudly. A gift bag loaded with balloons, fresh flowers, Kit Kat and Ferrero Rocher, finished with a personalised keyring, the whole celebration in one.",in stock,new,750.00 ZAR,https://kadashgifts.co.za/#gift-97,https://kadashgifts.co.za/images/bag_balloons_flower_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Love & Anniversary
98,The Gentleman's Bouquet,"A bouquet built for him. A personalised cap, Kit Kat and Ferrero Rocher, two pairs of socks, a personalised iPhone cover, and a personalised pen: everything he'd never buy himself.",in stock,new,550.00 ZAR,https://kadashgifts.co.za/#gift-98,https://kadashgifts.co.za/images/mens_bouquet.jpg,Kadash Gifts,Love & Anniversary
99,The Piece by Piece Set,"Because you fell for them piece by piece. A personalised puzzle with wine, a candle, Ferrero Rocher, and a heart chocolate, a slow, sweet celebration of the two of you.",in stock,new,600.00 ZAR,https://kadashgifts.co.za/#gift-99,https://kadashgifts.co.za/images/piece_by_piece.jpg,Kadash Gifts,Gift Boxes & Hampers > Love & Anniversary
100,The Table for Two Set,"For the couple who host with heart. A personalised platter board, personalised mugs, personalised coasters, and a personalised gift bag. Set the table and let love do the rest.",in stock,new,700.00 ZAR,https://kadashgifts.co.za/#gift-100,https://kadashgifts.co.za/images/platter_mugs.jpg,Kadash Gifts,Gift Boxes & Hampers > Love & Anniversary
101,The Cosy Couple Set,Slow mornings and shared blankets. A personalised mug and cushion set made for the couple who love staying in.,in stock,new,640.00 ZAR,https://kadashgifts.co.za/#gift-101,https://kadashgifts.co.za/images/mug_cushion_set.jpg,Kadash Gifts,Love & Anniversary
102,The Whole Heart Set,"Everything, all at once. A personalised cushion, personalised mugs, personalised coasters, a personalised ceramic clock, and a gift box to hold it all, the fullest way to say how much they mean to you.",in stock,new,800.00 ZAR,https://kadashgifts.co.za/#gift-102,https://kadashgifts.co.za/images/cushion_mug_coaster.jpg,Kadash Gifts,Gift Boxes & Hampers > Love & Anniversary
103,The Cappuccino Ritual,"The mid-morning moment, personalised. A branded cappuccino mug with nuts and dried fruit, a considered desk gift that keeps your name in their hands, cup after cup.",in stock,new,480.00 ZAR,https://kadashgifts.co.za/#gift-103,https://kadashgifts.co.za/images/corporate_capacino_mug.jpg,Kadash Gifts,Corporate & Events
104,The Executive Standard,"Everything the working day asks for, all personalised. A pen, bottle, lunch bag, and notebook, a complete corporate set that puts your brand to work every day.",in stock,new,750.00 ZAR,https://kadashgifts.co.za/#gift-104,https://kadashgifts.co.za/images/pen_bottle_notebook.jpg,Kadash Gifts,Corporate & Events
105,The Midday Carry,"A personalised lunch bag that moves from desk to boardroom and back. Practical, branded, and used daily. Corporate gifting that earns its keep.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-105,https://kadashgifts.co.za/images/lunch_bags.jpg,Kadash Gifts,Corporate & Events
106,The Considered Trio,"Three thoughtful pieces: a personalised keyring, bottle, and candle. Understated and genuinely useful, for staff appreciation or client thank-yous.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-106,https://kadashgifts.co.za/images/keyring_bottle_candle.jpg,Kadash Gifts,Corporate & Events
107,The Field Set,"For the team that takes the work on the road. A personalised flask and notebook with a pen and Ferrero Rocher, a premium gift that travels well.",in stock,new,600.00 ZAR,https://kadashgifts.co.za/#gift-107,https://kadashgifts.co.za/images/flask_notebook_pen.jpg,Kadash Gifts,Corporate & Events
108,The Living Desk,"A corporate gift that keeps growing. A personalised plant alongside a flask, notebook, and pen, a fresh, lasting addition to any desk.",in stock,new,700.00 ZAR,https://kadashgifts.co.za/#gift-108,https://kadashgifts.co.za/images/plant_flask_notebook_pen.jpg,Kadash Gifts,Corporate & Events
109,The Comfort & Care Hamper,"Everything they need to feel held while they heal. A glass display filled with a personalised mug, honey, biscuits, tea, tissues, a candle, and Ferrero Rocher and Lindt chocolates. Comfort, all in one place.",in stock,new,800.00 ZAR,https://kadashgifts.co.za/#gift-109,https://kadashgifts.co.za/images/glass_display_mug_honey.jpg,Kadash Gifts,Gift Boxes & Hampers > Get Well Soon
110,The Proud Graduate Display,"For the milestone worth framing. A personalised graduation display marking their name, their achievement, and the day they earned it, from creche caps to final years.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-110,https://kadashgifts.co.za/images/graduation_display.jpg,Kadash Gifts,Graduation & School
111,The Class Mug & Box,"A personalised mug boxed and ready to gift, for a favourite teacher, a proud graduate, or a keepsake from the school year. Dishwasher safe.",in stock,new,120.00 ZAR,https://kadashgifts.co.za/#gift-111,https://kadashgifts.co.za/images/mug__mugbox_school.jpg,Kadash Gifts,Graduation & School
112,The School Lunch Box,"A personalised lunch box made for the school run, their name front and centre, built for every packed lunch of the year.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-112,https://kadashgifts.co.za/images/lunch_box.jpg,Kadash Gifts,Graduation & School
113,The School Keyring,"A small personalised keyring in lightweight, hard-wearing polymer that resists cracking, scratching, and fading. An easy, affordable keepsake for class gifts, party packs, or end-of-year thank-yous.",in stock,new,100.00 ZAR,https://kadashgifts.co.za/#gift-113,https://kadashgifts.co.za/images/keyring_school.jpg,Kadash Gifts,Graduation & School
114,The School Sippy Cup,"A personalised sippy cup in a playful school design, perfect for creche, little graduates, and everything in between. Dishwasher safe.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-114,https://kadashgifts.co.za/images/sippy_cup_school.jpg,Kadash Gifts,Graduation & School
115,The School Water Bottle,"A personalised water bottle made for the school day. Their name on the one they carry to class, to practice, and back. Dishwasher safe.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-115,https://kadashgifts.co.za/images/water_bottles_school.jpg,Kadash Gifts,Graduation & School
116,The School Pencil Case,A personalised pencil case sized for the school bag. Their name on the one that holds everything they need for class.,in stock,new,90.00 ZAR,https://kadashgifts.co.za/#gift-116,https://kadashgifts.co.za/images/pencil_case_school.jpg,Kadash Gifts,Graduation & School
117,The Pencil Case & Crayons Set,"A personalised pencil case packed with crayons, ready for the classroom. Their name on the set they colour, write, and learn with.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-117,https://kadashgifts.co.za/images/pencil_case_crayons.jpg,Kadash Gifts,Gift Boxes & Hampers > Graduation & School
118,The School Stationery Set,A personalised pencil case and matching pen in a school design. Their name on the desk essentials they reach for every day.,in stock,new,180.00 ZAR,https://kadashgifts.co.za/#gift-118,https://kadashgifts.co.za/images/pen_pencil_case_school.jpg,Kadash Gifts,Graduation & School
119,The School Arm Sleeves,"A pair of personalised arm sleeves. Their name on a practical extra for school, sports days, and time in the sun.",in stock,new,100.00 ZAR,https://kadashgifts.co.za/#gift-119,https://kadashgifts.co.za/images/arm_sleeves.jpg,Kadash Gifts,Graduation & School
120,The Comrades Winner Set,"For the runner who conquered the ultimate. A personalised T-shirt, cap, mug, keyring, and coaster, celebrating the medal, the miles, and everything it took to earn them.",in stock,new,640.00 ZAR,https://kadashgifts.co.za/#gift-120,https://kadashgifts.co.za/images/comrades_winner_set.jpg,Kadash Gifts,Gift Boxes & Hampers > For Him
121,The Runner's Overnight Bag,"A personalised sports and overnight bag built for the runner always heading somewhere. Race day, training camp, or the weekend away.",in stock,new,600.00 ZAR,https://kadashgifts.co.za/#gift-121,https://kadashgifts.co.za/images/runner_bag_sports.jpg,Kadash Gifts,For Him
122,The Athlete's Bag Set,"Everything the athlete needs to train and travel. A personalised bag, towel, and bottle, their name on the kit that goes the distance with them.",in stock,new,1000.00 ZAR,https://kadashgifts.co.za/#gift-122,https://kadashgifts.co.za/images/bag_towel_set.jpg,Kadash Gifts,Gift Boxes & Hampers > For Him
123,The Comrades Flask,"A personalised flask for the Comrades runner. Keeps them going through the miles, and marks the achievement long after the finish. Dishwasher safe.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-123,https://kadashgifts.co.za/images/comrades_flask.jpg,Kadash Gifts,For Him
124,The Event Mug & Pen Set,"A personalised mug and matching pen, boxed and ready to hand out. A smart, useful favour for conferences, launches, and celebrations.",in stock,new,170.00 ZAR,https://kadashgifts.co.za/#gift-124,https://kadashgifts.co.za/images/mug_pen_events.jpg,Kadash Gifts,Gift Boxes & Hampers > Corporate & Events
125,The Full Delegate Set,"Everything a guest needs to take notes and take part. A personalised mousepad, notebook, pen, and flask, the complete set for conferences, workshops, and corporate events.",in stock,new,630.00 ZAR,https://kadashgifts.co.za/#gift-125,https://kadashgifts.co.za/images/mousepad_notebook_pen_events.jpg,Kadash Gifts,Gift Boxes & Hampers > Corporate & Events
126,The Event Pencil Bag,"A personalised pencil bag, packaged and ready to give. A neat, practical favour that guests actually keep.",in stock,new,95.00 ZAR,https://kadashgifts.co.za/#gift-126,https://kadashgifts.co.za/images/packaging_pencil_bag_events.jpg,Kadash Gifts,Corporate & Events
127,The Compact Mirror Favour,"A personalised compact mirror in gift packaging. A small, thoughtful touch for weddings, parties, and events.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-127,https://kadashgifts.co.za/images/packaging_compact_mirror.jpg,Kadash Gifts,Corporate & Events
128,The Sequin Makeup Bag,"A personalised sequin makeup bag, packaged to impress. A favour with a bit of sparkle for the guests who love the details.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-128,https://kadashgifts.co.za/images/packaging_sequin_makeup.jpg,Kadash Gifts,Corporate & Events
129,The Boxed Candle,"A personalised candle presented in a gift box. A warm, welcoming favour that suits any occasion.",in stock,new,190.00 ZAR,https://kadashgifts.co.za/#gift-129,https://kadashgifts.co.za/images/box_candle_set.jpg,Kadash Gifts,Corporate & Events
130,The Charm Keyring Favour,"A personalised charm keyring in lightweight, hard-wearing polymer, gift-packaged and ready to hand out. A small keepsake guests carry long after the event.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-130,https://kadashgifts.co.za/images/packaging_charm_keyring.jpg,Kadash Gifts,Corporate & Events
131,The Boxed Glass Bottle,"A personalised glass bottle boxed and ready to give. A clean, useful favour for launches, weddings, and corporate days. Dishwasher safe.",in stock,new,190.00 ZAR,https://kadashgifts.co.za/#gift-131,https://kadashgifts.co.za/images/box_glass.jpg,Kadash Gifts,Corporate & Events
132,The Succulent Favour,A potted succulent presented in a gift box. A living favour that keeps growing well past the event.,in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-132,https://kadashgifts.co.za/images/box_succulent_event.jpg,Kadash Gifts,Corporate & Events
133,The Phone-Stand Pen,"A personalised pen that doubles as a phone stand, packaged and ready to give. A clever little favour guests will actually use at their desk.",in stock,new,65.00 ZAR,https://kadashgifts.co.za/#gift-133,https://kadashgifts.co.za/images/packaging_pen_events.jpg,Kadash Gifts,Corporate & Events
134,The Notebook & Pen Box,"A personalised notebook and pen in a gift box. A polished favour for delegates, guests, and teams.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-134,https://kadashgifts.co.za/images/box_notebook_pen.jpg,Kadash Gifts,Gift Boxes & Hampers > Corporate & Events
135,The Event Tumbler Set,"A personalised 1.2L tumbler in a matching gift bag. A premium favour that guests carry everywhere, keeping your event in hand long after.",in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-135,https://kadashgifts.co.za/images/gift_bag_tumbler_events.jpg,Kadash Gifts,Corporate & Events
136,The Quiet Time Set,"For the mornings spent in the Word. A personalised Bible, notebook, and pen, made for prayer, reflection, and the quiet time that shapes everything else.",in stock,new,550.00 ZAR,https://kadashgifts.co.za/#gift-136,https://kadashgifts.co.za/images/bible_notebook_pen.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
137,The Kingdom Hoodie & Cap,"Wear your faith with ease. A personalised hoodie and matching trucker cap, durable and flexible, for the man who carries the Kingdom into every room he walks.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-137,https://kadashgifts.co.za/images/hoodie_cap.jpg,Kadash Gifts,Christian Gifts > Father's Day > For Him
138,The Scripture Tumbler,"A personalised 1.2L tumbler in a scripture design. Sublimation-printed for colour that lasts, it keeps them going through the day with a word to hold onto, right there in their hands. Dishwasher safe.",in stock,new,400.00 ZAR,https://kadashgifts.co.za/#gift-138,https://kadashgifts.co.za/images/tumbler_scripture.jpg,Kadash Gifts,Christian Gifts
139,The Carry the Word Set,"Faith that goes everywhere they go. A personalised Bible bag, iPhone cover, and flask, so the Word travels with them from the pew to the everyday.",in stock,new,700.00 ZAR,https://kadashgifts.co.za/#gift-139,https://kadashgifts.co.za/images/scripture_bag_iphone_case.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
140,The Faithful Essentials Set,"The everyday tools for a life of faith. A personalised notebook, keyring, pen, and flask, ready for sermons, study, and everything in between.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-140,https://kadashgifts.co.za/images/christian_notebook_keyring_pen.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
141,The Bible Bag,"A personalised bag made to carry the Word. Room for their Bible, notebook, and pen, with their name on the outside.",in stock,new,350.00 ZAR,https://kadashgifts.co.za/#gift-141,https://kadashgifts.co.za/images/bible_bag.jpg,Kadash Gifts,Christian Gifts
142,The Word on the Go Set,"For faith on the move. A personalised Bible bag and travel mug, ready for early services, small groups, and the commute in between.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-142,https://kadashgifts.co.za/images/bible_bag_travel_mug.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
143,The Complete Kingdom Set,"Everything for a life rooted in the Word. A personalised Bible bag, keyring, mug, coaster, notebook, and Bible, the full set for the person who lives their faith out loud.",in stock,new,1050.00 ZAR,https://kadashgifts.co.za/#gift-143,https://kadashgifts.co.za/images/bible_bag_coaster_keyring.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
144,The Walk in Faith Set,"For every step of the journey. A personalised Bible, notebook, pen, socks, and keyring, a complete set for the one walking their faith daily.",in stock,new,750.00 ZAR,https://kadashgifts.co.za/#gift-144,https://kadashgifts.co.za/images/bible_pen_socks.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
145,The Blessed & Bright Set,"For the woman whose faith shines. A personalised sequin cushion and matching sequin notebook in a gift bag, bold, bright, and unapologetically hers.",in stock,new,480.00 ZAR,https://kadashgifts.co.za/#gift-145,https://kadashgifts.co.za/images/sequin_pillow_notebook.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts
146,The Glass Display Clock,"A personalised glass display clock made to mark the moments that matter. Their names, a date, or a message, set in glass for the mantel or the desk.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-146,https://kadashgifts.co.za/images/glass_clock_display.jpg,Kadash Gifts,Love & Anniversary > Home & Living
147,The Slate Heart Keepsake,"A heart-shaped personalised slate stone, engraved with a name, a date, or a few words that say it all. A small, lasting piece for any home.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-147,https://kadashgifts.co.za/images/slate_stone.jpg,Kadash Gifts,Love & Anniversary > Home & Living
148,The Frosted Glass,"A personalised frosted glass etched with their name or a message. Priced per glass, so build the set that suits your table. Dishwasher safe.",in stock,new,100.00 ZAR,https://kadashgifts.co.za/#gift-148,https://kadashgifts.co.za/images/frosted_glasses.jpg,Kadash Gifts,Home & Living
149,The Personalised Plate,"A personalised plate made with your own design, ready to bring to the table again and again. Priced per plate. Dishwasher safe.",in stock,new,100.00 ZAR,https://kadashgifts.co.za/#gift-149,https://kadashgifts.co.za/images/personalised_plate.jpg,Kadash Gifts,Love & Anniversary > Home & Living
151,The Double-Walled Bottle,"A personalised double-walled bottle that keeps drinks hot or cold for hours. Priced per bottle, available in a range of colours. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-151,https://kadashgifts.co.za/images/double_walled_bottle.jpg,Kadash Gifts,Mugs & Bottles
152,The Can Tumbler,"A personalised can-style tumbler for the drink that travels with them. Sleek, insulated, and entirely theirs. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-152,https://kadashgifts.co.za/images/can_tumbler.jpg,Kadash Gifts,Mugs & Bottles
153,The Travel Mug,"A 400ml stainless steel travel mug, personalised and built for the commute and the coffee run. Their name on the lid, ready for the road. Dishwasher safe.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-153,https://kadashgifts.co.za/images/travel_mug.jpg,Kadash Gifts,Mugs & Bottles
154,The 20oz Tumbler,"A 590ml personalised tumbler that keeps up with the day. Sublimation-printed so it never peels or fades, their name, their colour, from the desk to the drive home. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-154,https://kadashgifts.co.za/images/20oz_tumbler.jpg,Kadash Gifts,Mugs & Bottles
155,The Wine Tumbler,"A 355ml personalised wine tumbler for the pour that travels, from the patio to the picnic. Sublimation-printed so the design never peels, their name, no stem, no spills. Dishwasher safe.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-155,https://kadashgifts.co.za/images/wine_tumbler_design.jpg,Kadash Gifts,Best Sellers > Love & Anniversary > For Her > Mugs & Bottles
156,The Full-Print Wine Tumbler,"A 355ml personalised wine tumbler wrapped in a full-print, edge-to-edge design. Sublimation-printed for colour that stays vivid wash after wash, bold from top to bottom. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-156,https://kadashgifts.co.za/images/wine_tumbler_full_print.jpg,Kadash Gifts,Love & Anniversary > For Her > Mugs & Bottles
157,The Sleek Tumbler,"A personalised sleek tumbler built for the day on the move. Slim, insulated, and entirely theirs. Dishwasher safe.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-157,https://kadashgifts.co.za/images/sleek_tubler.jpg,Kadash Gifts,Mugs & Bottles
158,The Signature Gift Box,"You chose the perfect gift. Now hand it over like one. A personalised gift box with their name printed on the ribbon and the lid, so the moment lands before they have even seen what is inside. Sized to fit almost anything you are giving.",in stock,new,70.00 ZAR,https://kadashgifts.co.za/#gift-158,https://kadashgifts.co.za/images/gift-box-signature.jpg,Kadash Gifts,Gift Packaging
159,The Signature Gift Bag,"For the gift you are handing over in person. A personalised gift bag printed with their name, ready to carry and ready to give. No wrapping, no fuss. They lift the tissue and there it is.",in stock,new,25.00 ZAR,https://kadashgifts.co.za/#gift-159,https://kadashgifts.co.za/images/gift-bag-signature.jpg,Kadash Gifts,Gift Packaging
160,The Keepsake Gift Box,"A premium gift box with their name on the lid, in your choice of gold, silver, white or black. One generous size that fits gifts up to 35 x 20 x 10cm. Pick the colour that suits them and hand it over ready.",in stock,new,55.00 ZAR,https://kadashgifts.co.za/#gift-160,https://kadashgifts.co.za/images/gift-box-keepsake.jpg,Kadash Gifts,Gift Packaging
161,The Branded Picnic Blanket,"Personalised and branded for your days in the sun. A soft, padded fleece picnic blanket with a foam centre for real comfort and a water-resistant backing that keeps grass and sand off the underside. Shake it out, fold it into a compact carry, and the handle with its PU protector does the rest. Generously sized at 170 x 130cm in RPET fleece and cotton canvas.",in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-161,https://kadashgifts.co.za/images/picnic_blanket_1.jpg,Kadash Gifts,Corporate & Events > Love & Anniversary > For Her > For Him > Home & Living
162,The Appreciation Set,"A set that says thank you properly. A personalised tote bag, travel mug, notebook, and face cloth, four everyday things they will actually reach for, each one carrying your message of appreciation.",in stock,new,580.00 ZAR,https://kadashgifts.co.za/#gift-162,https://kadashgifts.co.za/images/totebag_set.jpg,Kadash Gifts,Corporate & Events > Gift Boxes & Hampers > For Her > For Him
